feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,delta_30s_0,delta_30s_1,delta_30s_2,delta_30s_3,delta_30s_4,delta_30s_5,delta_30s_6,delta_60s_0,delta_60s_1,delta_60s_2,delta_60s_3,delta_60s_4,delta_60s_5,delta_60s_6,downstream_affected,label
68.8626,74.6601,0.3044,0.6883,0.5661,5569.8873,5958.614,19.1531,6.9691,0.035,-0.1194,0.2306,-615.5827,956.0549,-15.8323,-0.1596,-0.1215,0.2246,0.1156,-1798.3353,-521.5408,0,resource
21.7669,14.6404,0.2916,3.856,0.4531,329.0162,399.2251,4.5175,-0.8079,0.079,-0.0827,0.101,19.962,39.6968,-8.3074,-3.8315,0.0401,0.6893,-0.0082,94.0653,21.134,0,network
36.3648,32.8331,0.1847,0.2764,0.5673,4445.2637,4688.0362,0.828,1.6485,0.1273,0.0163,0.0863,294.0528,154.3117,-9.1921,-15.6273,0.0192,-0.1965,0.2058,1192.984,-7.3529,0,timing
16.4243,17.0108,0.0206,0.1017,0,4019.5404,4002.0266,-0.0048,-0.0095,-0.0106,-0.0095,0.0129,0.0025,0.0275,0.0255,0.0386,-0.0317,-0.0209,-0.0183,0.0202,-0.0347,0,normal
5.1576,36.2881,0.2106,3.8983,0.1424,84.784,342.1718,0.0035,-6.3474,-0.0211,-0.8756,-0.064,-20.9936,24.7001,-0.3212,5.1483,-0.0492,1.6472,0.1866,-1.2356,133.5714,1,network
81.5717,90.3452,0.2306,0.8742,0.4549,3762.708,5132.7409,6.5527,12.0208,0.0654,0.112,-0.0949,-65.0789,-177.116,-15.7779,33.9252,0.0158,-0.4754,-0.1321,-506.1276,-114.3419,0,resource
13.9959,26.8575,0.0021,0,0,4868.9834,4960.0502,0.0014,-0.003,0.0182,-0.0008,-0.0081,-0.0035,0.0226,0.032,-0.0242,-0.0311,-0.001,-0.0514,0.0178,0.0161,0,normal
68.8761,100.342,0.1744,2.3146,0.7809,3418.3221,6527.874,10.3881,2.3177,0.0565,-0.624,0.0428,221.8888,24.0084,7.3908,-20.0494,0.1492,0.3581,0.1462,954.4578,-2802.513,0,resource
67.1735,19.9882,0.4015,1.6375,0.3675,2258.7409,4412.3595,-15.7927,2.6847,-0.0211,-0.2878,-0.0146,10.867,216.2196,13.4248,1.4321,0.1329,-0.0633,0.0386,677.9175,-1758.9725,0,timing
8.7641,21.9143,0.2298,2.4759,0,868.6528,239.4296,-1.461,-1.5156,0.0185,-0.6824,0.0419,-257.1762,-37.1109,0.4004,9.9368,-0.001,1.0525,-0.0042,120.8126,-50.8676,1,network
